"ID","Typ","Nazwa","Element nadrzędny","Cena","Nazwa atrybutu 1","Wartości atrybutu 1","Nazwa atrybutu 2","Wartości atrybutu 2","Nazwa atrybutu 3","Wartości atrybutu 3","Nazwa atrybutu 4","Wartości atrybutu 4","Nazwa atrybutu 5","Wartości atrybutu 5","Nazwa atrybutu 6","Wartości atrybutu 6"
"","variation","Kalendarz ścienny listwowany","id:1007","1420.8","Format","A1 (594 x 841 mm)","Zadruk","Jednostronny","Papier","Kreda błysk 170 g","Uszlachetnienie","Folia błysk jednostronnie","Listwy","kpl. srebrnych listew z zawieszką","Nakład","100"
"","variation","Kalendarz ścienny listwowany","id:1007","1900.8","Format","A1 (594 x 841 mm)","Zadruk","Jednostronny","Papier","Kreda błysk 170 g","Uszlachetnienie","Folia błysk jednostronnie","Listwy","kpl. srebrnych listew z zawieszką","Nakład","200"
"","variation","Kalendarz ścienny listwowany","id:1007","2169.6","Format","A1 (594 x 841 mm)","Zadruk","Jednostronny","Papier","Kreda błysk 170 g","Uszlachetnienie","Folia błysk jednostronnie","Listwy","kpl. srebrnych listew z zawieszką","Nakład","250"
"","variation","Kalendarz ścienny listwowany","id:1007","2342.4","Format","A1 (594 x 841 mm)","Zadruk","Jednostronny","Papier","Kreda błysk 170 g","Uszlachetnienie","Folia błysk jednostronnie","Listwy","kpl. srebrnych listew z zawieszką","Nakład","300"
"","variation","Kalendarz ścienny listwowany","id:1007","2860.8","Format","A1 (594 x 841 mm)","Zadruk","Jednostronny","Papier","Kreda błysk 170 g","Uszlachetnienie","Folia błysk jednostronnie","Listwy","kpl. srebrnych listew z zawieszką","Nakład","400"
"","variation","Kalendarz ścienny listwowany","id:1007","3148.8","Format","A1 (594 x 841 mm)","Zadruk","Jednostronny","Papier","Kreda błysk 170 g","Uszlachetnienie","Folia błysk jednostronnie","Listwy","kpl. srebrnych listew z zawieszką","Nakład","500"
"","variation","Kalendarz ścienny listwowany","id:1007","5260.8","Format","A1 (594 x 841 mm)","Zadruk","Jednostronny","Papier","Kreda błysk 170 g","Uszlachetnienie","Folia błysk jednostronnie","Listwy","kpl. srebrnych listew z zawieszką","Nakład","1000"
"","variation","Kalendarz ścienny listwowany","id:1007","1228.8","Format","A1 (594 x 841 mm)","Zadruk","Jednostronny","Papier","Kreda błysk 170 g","Uszlachetnienie","Folia mat jednostronnie","Listwy","brak","Nakład","100"
"","variation","Kalendarz ścienny listwowany","id:1007","1516.8","Format","A1 (594 x 841 mm)","Zadruk","Jednostronny","Papier","Kreda błysk 170 g","Uszlachetnienie","Folia mat jednostronnie","Listwy","brak","Nakład","200"
"","variation","Kalendarz ścienny listwowany","id:1007","1689.6","Format","A1 (594 x 841 mm)","Zadruk","Jednostronny","Papier","Kreda błysk 170 g","Uszlachetnienie","Folia mat jednostronnie","Listwy","brak","Nakład","250"
"","variation","Kalendarz ścienny listwowany","id:1007","1766.4","Format","A1 (594 x 841 mm)","Zadruk","Jednostronny","Papier","Kreda błysk 170 g","Uszlachetnienie","Folia mat jednostronnie","Listwy","brak","Nakład","300"
"","variation","Kalendarz ścienny listwowany","id:1007","2092.8","Format","A1 (594 x 841 mm)","Zadruk","Jednostronny","Papier","Kreda błysk 170 g","Uszlachetnienie","Folia mat jednostronnie","Listwy","brak","Nakład","400"
