"ID","Typ","Nazwa","Element nadrzędny","Cena","Nazwa atrybutu 1","Wartości atrybutu 1","Nazwa atrybutu 2","Wartości atrybutu 2","Nazwa atrybutu 3","Wartości atrybutu 3","Nazwa atrybutu 4","Wartości atrybutu 4"
"","variation","Kalendarz trójdzielny","id:1010","","Kalendarz trójdzielny","standard","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Bez uszlachetniania","Nakład","400"
"","variation","Kalendarz trójdzielny","id:1010","","Kalendarz trójdzielny","standard","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Bez uszlachetniania","Nakład","500"
"","variation","Kalendarz trójdzielny","id:1010","","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Bez uszlachetniania","Nakład","25"
"","variation","Kalendarz trójdzielny","id:1010","","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Bez uszlachetniania","Nakład","50"
"","variation","Kalendarz trójdzielny","id:1010","","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Bez uszlachetniania","Nakład","100"
"","variation","Kalendarz trójdzielny","id:1010","","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Bez uszlachetniania","Nakład","150"
"","variation","Kalendarz trójdzielny","id:1010","","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Bez uszlachetniania","Nakład","200"
"","variation","Kalendarz trójdzielny","id:1010","","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Bez uszlachetniania","Nakład","250"
"","variation","Kalendarz trójdzielny","id:1010","","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Bez uszlachetniania","Nakład","300"
"","variation","Kalendarz trójdzielny","id:1010","","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Bez uszlachetniania","Nakład","400"
"","variation","Kalendarz trójdzielny","id:1010","","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Bez uszlachetniania","Nakład","500"
"","variation","Kalendarz trójdzielny","id:1010","","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Bez uszlachetniania","Nakład","25"
"","variation","Kalendarz trójdzielny","id:1010","","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Bez uszlachetniania","Nakład","50"
"","variation","Kalendarz trójdzielny","id:1010","","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Bez uszlachetniania","Nakład","100"
"","variation","Kalendarz trójdzielny","id:1010","","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Bez uszlachetniania","Nakład","150"
"","variation","Kalendarz trójdzielny","id:1010","","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Bez uszlachetniania","Nakład","200"
"","variation","Kalendarz trójdzielny","id:1010","","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Bez uszlachetniania","Nakład","250"
"","variation","Kalendarz trójdzielny","id:1010","","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Bez uszlachetniania","Nakład","300"
"","variation","Kalendarz trójdzielny","id:1010","","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Bez uszlachetniania","Nakład","400"
"","variation","Kalendarz trójdzielny","id:1010","","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Bez uszlachetniania","Nakład","500"
"","variation","Kalendarz trójdzielny","id:1010","","Kalendarz trójdzielny","maxi","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Bez uszlachetniania","Nakład","25"
"","variation","Kalendarz trójdzielny","id:1010","","Kalendarz trójdzielny","maxi","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Bez uszlachetniania","Nakład","50"
"","variation","Kalendarz trójdzielny","id:1010","","Kalendarz trójdzielny","maxi","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Bez uszlachetniania","Nakład","100"
"","variation","Kalendarz trójdzielny","id:1010","","Kalendarz trójdzielny","maxi","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Bez uszlachetniania","Nakład","150"
"","variation","Kalendarz trójdzielny","id:1010","","Kalendarz trójdzielny","maxi","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Bez uszlachetniania","Nakład","200"
"","variation","Kalendarz trójdzielny","id:1010","","Kalendarz trójdzielny","maxi","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Bez uszlachetniania","Nakład","250"
"","variation","Kalendarz trójdzielny","id:1010","","Kalendarz trójdzielny","maxi","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Bez uszlachetniania","Nakład","300"
"","variation","Kalendarz trójdzielny","id:1010","","Kalendarz trójdzielny","maxi","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Bez uszlachetniania","Nakład","400"
"","variation","Kalendarz trójdzielny","id:1010","","Kalendarz trójdzielny","maxi","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Bez uszlachetniania","Nakład","500"
"","variation","Kalendarz trójdzielny","id:1010","","Kalendarz trójdzielny","maxi","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Bez uszlachetniania","Nakład","25"
"","variation","Kalendarz trójdzielny","id:1010","","Kalendarz trójdzielny","maxi","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Bez uszlachetniania","Nakład","50"
"","variation","Kalendarz trójdzielny","id:1010","","Kalendarz trójdzielny","maxi","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Bez uszlachetniania","Nakład","100"
"","variation","Kalendarz trójdzielny","id:1010","","Kalendarz trójdzielny","maxi","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Bez uszlachetniania","Nakład","150"
"","variation","Kalendarz trójdzielny","id:1010","","Kalendarz trójdzielny","maxi","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Bez uszlachetniania","Nakład","200"
"","variation","Kalendarz trójdzielny","id:1010","","Kalendarz trójdzielny","maxi","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Bez uszlachetniania","Nakład","250"
"","variation","Kalendarz trójdzielny","id:1010","","Kalendarz trójdzielny","maxi","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Bez uszlachetniania","Nakład","300"
"","variation","Kalendarz trójdzielny","id:1010","","Kalendarz trójdzielny","maxi","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Bez uszlachetniania","Nakład","400"
"","variation","Kalendarz trójdzielny","id:1010","","Kalendarz trójdzielny","maxi","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Bez uszlachetniania","Nakład","500"
